ad_budget,impressions,ctr,clicks,cpc,time_on_site,user_engagement_score,device_score,clusters,agg_clusters,db_clusters,ms_clusters
11906.88074690615,62427,0.021086977928732,1263,10.701997493835178,438.25485230565937,18.194972000594237,2,2,2,0,3
36306.06552575903,478661,0.0419901587294952,20999,1.7429349699146923,123.1414625627346,21.93681604883047,7,3,0,1,1
36039.77254530431,608496,0.0381420010342466,23702,1.4767797427539495,149.70078780112007,23.916202669442445,7,3,0,1,1
9182.470640452028,29637,0.0178129311234649,505,17.702593413593526,475.0035541149633,33.06889345127682,2,2,2,0,3
39417.31532632407,635976,0.0441604354387338,29147,1.3019431575456222,60.9872864181595,26.207460408218942,7,3,0,1,1
36006.9130995406,364057,0.0438117139361434,13914,2.215075185506392,368.6088135868722,89.88276470943417,3,0,1,2,0
11080.512062895055,46241,0.0174805934535727,752,17.44138582279398,456.3802172158876,19.03658934747249,1,2,2,0,3
30203.468477714712,203247,0.0266725383970709,6134,5.997233985787148,197.4634910273676,25.932092975445087,6,1,3,3,2
32945.937652968416,334978,0.0278503993061704,10301,3.5878263038082947,130.34723936700112,39.10674767866319,6,1,1,3,2
29463.45774674877,257182,0.0272410736369852,7908,4.208709363790372,153.08169874420994,51.73624079125829,7,1,3,3,2
7983.666252267016,44222,0.0187877304436901,748,11.344641771018749,524.7031771026011,31.31917324910293,1,2,2,0,3
42963.61520429958,569823,0.0436961045092246,22093,1.6594332388756312,350.4040613765759,61.279922078729655,3,0,0,2,0
28728.131554816064,232960,0.0320030474603225,8253,4.257799459421562,170.09698108575486,53.1806402994061,6,1,3,3,2
27018.499357521177,239140,0.0277121249388557,7224,4.265886347062763,186.93014584241524,45.38919470365954,6,1,3,3,2
6216.51449821943,49174,0.0208677054975403,992,6.620486145343013,466.7334019922004,36.401730311235006,3,2,2,0,3
26970.93698728776,288373,0.023286358214067,7559,4.100351782367484,117.57786800758802,28.22751767232382,6,1,1,3,2
42171.98306666826,637520,0.0389675146360485,25347,1.709556122750603,172.39453060840512,22.57630461359439,7,3,0,1,1
37403.61496548413,603114,0.041429618451768,25098,1.4701973625952631,151.6039598217073,31.65903340301784,6,3,0,1,1
39778.03016645823,443778,0.0408342682283834,15841,2.034530249765225,387.5124681573303,74.92412391765895,3,0,1,2,0
37095.35303016767,416327,0.0430571488516948,16665,1.9943953938467047,357.67978262084733,76.57304910699993,3,0,1,2,0
34293.793585150495,365166,0.042065786828226,13939,1.926198222342184,433.6496713668991,75.89540782436521,2,0,1,2,0
38307.05257781799,391693,0.0450992317344224,15071,2.1791602909936025,385.8881359936621,83.813467807761,3,0,1,2,0
8765.596221918899,31798,0.0178237100929508,509,16.85257996233964,492.8203881662794,38.08746452751872,2,2,2,0,3
40783.0161374159,405143,0.0432015872121829,15805,2.2413937173191627,360.5041630568752,81.48388249942332,3,0,1,2,0
39502.27787274638,462975,0.0424466845664298,21243,1.89829621126466,87.19359138064056,16.207657892311843,7,3,0,1,1
